words,links,capital_words,spam_word_count,is_spam
239,1,8,1,0
65,5,2,2,0
97,2,6,8,1
100,0,3,1,0
299,1,2,0,0
52,7,12,7,1
90,2,1,1,0
156,2,1,0,0
205,1,5,6,0
129,0,3,6,0
130,0,4,2,0
340,2,9,8,1
388,7,24,2,1
182,2,15,8,1
160,1,1,2,0
103,1,2,1,0
302,6,21,8,1
234,1,0,2,0
759,2,1,2,1
130,2,1,6,0
426,1,0,0,0
66,1,1,1,0
132,3,9,9,1
211,1,0,5,0
226,0,25,8,1
900,2,2,1,1
231,1,20,5,1
53,2,16,6,1
139,6,3,7,1
917,6,2,3,1
30,0,1,1,0
129,9,5,3,1
116,2,3,1,0
162,4,2,5,0
808,5,4,4,1
527,4,20,9,1
117,2,0,2,0
48,0,0,1,0
272,1,1,2,0
122,4,20,8,1
165,3,4,0,0
226,3,5,5,1
363,0,2,0,0
182,2,5,2,0
161,9,17,9,1
154,2,3,5,0
447,2,0,0,0
857,7,6,9,1
730,3,17,10,1
531,3,17,7,1
846,2,23,1,1
698,8,14,0,1
186,1,4,2,0
429,7,26,10,1
396,1,15,0,1
116,1,3,0,0
177,2,3,1,0
168,1,29,4,1
292,0,4,0,0
252,0,0,1,0
70,7,1,8,1
239,1,0,2,0
699,3,5,3,1
213,2,10,4,0
157,8,0,10,1
78,2,3,2,0
88,4,2,2,0
243,2,0,1,0
158,2,1,2,0
220,2,1,1,0
89,1,3,2,0
249,0,2,4,0
167,5,3,1,0
55,2,10,5,0
996,8,7,7,1
292,2,0,5,0
59,0,1,2,0
560,3,22,9,1
596,9,29,7,1
25,2,0,2,0
183,2,2,5,0
943,10,24,9,1
798,5,12,7,1
183,5,24,9,1
138,5,8,7,1
629,9,21,1,1
243,1,3,2,0
130,0,1,2,0
336,0,22,3,1
200,4,0,2,0
200,2,2,5,0
317,5,8,4,1
87,2,2,1,0
189,10,26,4,1
504,3,0,10,1
270,2,1,1,0
277,9,24,8,1
165,0,1,1,0
128,1,3,0,0
712,7,23,10,1
294,0,1,2,0
662,4,13,8,1
205,1,8,0,0
659,1,13,5,1
129,1,8,2,0
242,0,1,1,0
50,2,6,8,1
623,4,25,3,1
141,1,10,0,0
207,0,4,0,0
247,0,1,4,0
215,1,1,0,0
584,9,12,1,1
93,0,3,2,0
223,0,0,2,0
955,6,10,8,1
983,2,11,0,1
284,2,3,1,0
523,2,12,4,1
159,5,0,2,0
300,1,1,5,0
272,2,3,0,0
148,2,0,1,0
187,5,23,10,1
451,10,30,6,1
113,0,6,6,0
400,0,0,1,0
230,3,14,7,1
125,6,24,5,1
336,4,2,0,0
180,3,2,0,0
106,3,3,1,0
177,3,19,4,1
167,0,8,1,0
168,0,0,1,0
63,1,0,2,0
29,2,3,5,0
152,2,1,6,0
188,7,10,7,1
456,5,13,2,1
660,6,4,7,1
60,3,25,9,1
142,9,24,10,1
65,3,2,1,0
216,0,8,2,0
750,2,13,6,1
644,8,15,4,1
163,0,0,2,0
211,1,0,2,0
107,4,18,8,1
173,1,2,1,0
422,5,1,0,0
858,7,20,1,1
211,1,2,0,0
363,5,11,5,1
343,5,5,0,0
265,4,2,0,0
609,6,5,2,1
174,10,18,7,1
308,0,2,2,0
195,5,1,1,0
164,2,0,0,0
130,2,3,0,0
427,3,16,6,1
170,2,2,2,0
52,10,2,2,1
337,0,3,2,0
161,5,5,0,0
275,2,0,0,0
173,2,18,6,1
197,5,0,5,0
994,9,20,1,1
341,6,28,6,1
90,1,3,2,0
427,0,29,4,1
315,3,21,3,1
318,2,19,10,1
972,7,13,5,1
126,4,1,7,1
779,0,6,2,1
497,3,5,7,1
282,0,5,6,0
211,4,1,0,0
160,9,20,0,1
136,4,16,10,1
545,4,4,8,1
223,2,1,2,0
231,9,22,5,1
238,1,0,0,0
958,7,26,7,1
74,0,1,1,0
954,9,8,6,1
64,9,24,2,1
196,1,1,2,0
552,4,23,9,1
132,0,1,0,0
451,2,19,3,1
134,5,3,10,1
449,1,3,1,0
73,1,1,2,0
46,1,5,1,0
142,0,1,10,1
178,7,19,9,1
638,2,25,1,1
178,2,0,2,0
795,4,9,6,1
286,3,2,2,0
392,6,28,9,1
454,9,27,9,1
414,4,13,10,1
252,2,2,2,0
97,1,2,0,0
283,4,26,6,1
534,3,6,0,1
186,0,2,1,0
788,7,25,10,1
816,0,28,10,1
267,0,3,6,0
162,9,4,10,1
301,1,9,2,0
350,6,1,7,1
849,2,8,1,1
256,0,1,1,0
388,1,9,8,1
206,0,2,0,0
281,2,1,1,0
165,0,3,1,0
165,0,20,4,1
55,2,3,2,0
60,4,0,0,0
356,10,17,4,1
106,10,11,10,1
440,3,25,0,1
425,1,2,0,0
326,8,11,4,1
455,1,3,0,0
193,2,0,0,0
285,0,1,0,0
582,8,24,5,1
116,5,24,10,1
372,9,21,5,1
59,0,20,7,1
146,3,11,4,1
109,2,17,6,1
156,2,2,5,0
174,2,2,3,0
849,2,10,5,1
475,4,15,8,1
352,2,0,5,0
404,5,10,1,1
532,7,25,4,1
114,4,6,7,1
638,4,5,9,1
208,3,19,8,1
393,5,1,1,0
142,3,26,9,1
714,10,19,3,1
130,2,0,2,0
881,2,15,6,1
165,1,2,0,0
220,1,0,0,0
79,4,25,6,1
258,5,9,2,0
755,9,6,6,1
388,3,21,9,1
83,1,0,0,0
81,1,3,1,0
181,2,1,2,0
130,1,2,5,0
409,0,3,3,0
127,2,2,5,0
613,2,10,9,1
69,1,1,2,0
496,1,0,0,0
50,10,4,6,1
300,10,30,7,1
442,1,3,1,0
870,3,20,3,1
393,10,5,4,1
196,7,19,1,1
294,2,3,3,0
263,1,4,2,0
134,9,11,1,1
411,1,3,2,0
87,0,3,0,0
825,3,22,10,1
858,8,8,4,1
82,2,2,1,0
79,0,2,0,0
569,7,10,5,1
909,7,5,2,1
139,5,3,2,0
92,0,3,1,0
294,0,2,6,0
715,9,28,5,1
129,10,1,5,1
48,2,0,5,0
261,1,4,1,0
101,8,29,7,1
677,4,25,3,1
29,0,1,2,0
325,9,11,5,1
45,1,1,1,0
125,1,27,4,1
120,0,2,0,0
28,0,1,0,0
179,4,13,10,1
519,4,0,4,1
87,10,9,8,1
158,3,0,1,0
103,4,3,7,1
78,1,9,2,0
55,3,2,10,1
157,2,0,2,0
78,1,10,2,0
236,0,1,3,0
93,1,0,2,0
717,1,2,2,1
241,4,5,6,1
717,8,22,7,1
212,10,6,3,1
177,4,3,5,0
261,0,0,4,0
190,1,1,1,0
433,4,3,10,1
93,1,3,0,0
429,9,27,9,1
82,5,30,8,1
237,1,3,2,0
243,1,1,0,0
640,3,16,2,1
56,0,8,1,0
43,0,0,0,0
149,5,21,9,1
343,10,21,9,1
837,5,2,6,1
51,0,2,2,0
615,9,7,6,1
152,2,23,10,1
216,1,1,2,0
89,1,2,1,0
35,2,0,2,0
268,2,1,1,0
178,8,22,10,1
243,5,9,4,1
140,8,25,7,1
359,0,2,2,0
835,8,6,8,1
473,10,11,4,1
277,2,1,2,0
147,2,21,5,1
463,1,3,1,0
610,4,25,3,1
202,2,3,0,0
254,0,1,1,0
208,0,3,3,0
204,1,0,6,0
247,2,2,0,0
82,10,8,0,1
184,2,0,2,0
274,2,2,5,1
177,10,6,3,1
253,2,0,1,0
247,2,4,1,0
285,2,6,2,0
707,3,23,8,1
961,2,23,6,1
879,5,7,8,1
935,5,18,9,1
262,1,2,5,0
202,1,1,2,0
504,2,29,7,1
96,7,5,10,1
172,3,2,2,0
764,3,13,3,1
257,1,1,2,0
78,0,1,2,0
112,3,12,3,1
157,2,0,0,0
169,0,4,1,0
270,2,3,0,0
251,1,1,0,0
292,5,2,1,0
69,0,3,1,0
500,5,8,7,1
193,6,1,8,1
873,0,17,8,1
122,2,2,2,0
110,6,10,8,1
149,3,1,2,0
487,2,0,0,0
143,0,4,0,0
73,0,3,1,0
176,5,4,4,1
195,10,25,3,1
224,1,3,2,0
749,4,1,10,1
134,5,1,0,0
891,8,10,3,1
874,6,25,4,1
951,0,14,5,1
133,1,5,0,0
91,0,1,0,0
108,4,3,0,0
368,2,26,9,1
212,0,4,0,0
385,2,1,2,0
299,2,6,7,1
129,7,18,2,1
170,6,27,7,1
242,1,1,3,0
218,1,6,2,0
199,2,22,4,1
868,7,5,7,1
219,2,9,2,0
208,1,5,2,0
274,0,19,6,1
443,0,3,1,0
810,7,8,9,1
248,0,12,6,1
133,0,0,1,0
136,4,1,2,0
701,1,23,7,1
55,2,0,1,0
107,3,29,10,1
237,1,4,3,1
418,7,20,3,1
156,1,0,2,0
611,4,22,4,1
469,7,2,10,1
102,2,0,0,0
243,4,14,3,1
26,1,3,0,0
529,2,30,9,1
292,2,3,0,0
283,0,2,0,0
383,1,1,0,0
294,2,1,0,0
198,2,2,0,0
56,2,3,0,0
450,1,7,0,0
830,8,5,10,1
183,3,30,0,1
33,1,1,1,0
78,2,3,2,0
218,4,3,1,0
132,3,8,5,1
103,4,0,2,0
121,0,17,4,1
280,2,2,2,0
250,2,8,1,0
210,2,1,0,0
220,2,1,1,0
300,4,18,6,1
815,2,13,7,1
192,3,13,5,1
59,2,13,9,1
268,0,0,2,0
23,1,2,0,0
281,1,1,0,0
532,9,15,10,1
188,2,1,2,0
66,3,18,8,1
91,2,2,2,0
282,4,26,6,1
747,8,18,5,1
239,1,0,3,0
489,2,1,0,0
858,6,1,4,1
73,1,3,1,0
98,5,14,5,1
938,5,30,7,1
124,1,9,0,0
284,1,1,0,0
716,4,9,8,1
141,1,1,1,0
167,0,2,1,0
55,4,10,10,1
123,0,0,2,0
646,4,5,7,1
101,0,1,6,0
103,1,3,2,0
53,0,1,1,0
165,1,1,1,0
192,2,3,2,0
832,4,25,7,1
144,1,4,0,0
288,3,1,1,0
699,4,11,10,1
126,0,1,2,0
298,0,1,1,0
62,1,1,0,0
583,2,10,6,1
812,9,13,7,1
30,5,3,1,0
703,9,27,3,1
392,0,19,1,1
188,1,1,1,0
62,1,1,2,0
193,10,7,4,1
137,0,3,1,0
224,1,6,2,0
239,2,0,0,0
529,5,9,7,1
498,3,10,4,1
716,0,2,6,1
345,2,1,1,0
194,0,3,5,0
262,2,0,0,0
333,2,0,2,0
92,3,29,10,1
287,1,8,2,0
22,5,1,0,0
273,2,26,6,1
170,0,3,1,0
307,7,7,3,1
65,7,15,6,1
368,1,13,4,1
316,8,22,4,1
250,1,4,1,0
979,8,28,5,1
188,2,1,1,0
927,8,9,9,1
396,5,7,9,1
923,4,20,5,1
452,3,14,4,1
181,2,0,2,0
233,4,8,2,0
941,5,16,4,1
259,1,0,2,0
420,2,0,1,0
296,10,0,10,1
720,7,8,10,1
945,2,9,1,1
491,3,3,1,0
395,1,3,4,0
38,2,0,6,0
222,2,0,2,0
29,1,2,1,0
46,1,2,0,0
938,6,0,9,1
26,1,2,1,0
89,2,1,0,0
172,2,0,1,0
816,0,20,7,1
216,0,2,2,0
31,1,0,0,0
46,2,1,0,0
134,2,16,2,1
125,1,1,0,0
64,1,2,0,0
596,7,5,8,1
240,0,0,2,0
122,4,0,4,0
174,2,2,2,0
470,3,5,5,1
248,2,1,2,0
290,1,0,0,0
157,2,13,5,1
167,0,0,1,0
454,3,7,2,1
226,2,2,0,0
54,1,6,0,0
76,0,2,2,0
424,10,1,7,1
277,1,1,0,0
349,3,6,10,1
431,6,15,9,1
26,0,6,3,0
108,4,16,9,1
74,0,2,0,0
291,2,2,4,0
679,8,7,10,1
60,3,1,9,1
97,2,3,0,0
538,2,16,0,1
429,2,1,2,0
251,2,2,2,0
632,0,24,4,1
872,7,11,7,1
463,8,7,8,1
21,2,3,1,0
119,2,10,1,0
149,3,25,6,1
203,2,2,0,0
294,5,2,1,0
895,2,23,2,1
422,2,1,0,0
114,0,0,0,0
165,1,0,0,0
797,9,9,6,1
159,0,1,2,0
421,7,17,5,1
238,2,2,5,0
218,2,5,0,0
208,1,2,2,0
241,2,5,4,1
431,6,20,10,1
85,4,16,10,1
241,2,10,2,0
153,2,3,1,0
605,7,16,7,1
222,2,0,0,0
477,2,25,10,1
168,9,22,0,1
65,2,2,2,0
201,0,1,0,0
377,1,11,0,1
708,3,7,8,1
731,4,12,10,1
49,0,8,1,0
474,9,19,7,1
113,6,18,3,1
477,10,15,8,1
253,2,0,0,0
170,5,1,0,0
97,7,4,6,1
872,10,17,8,1
249,7,6,3,1
364,1,1,1,0
231,4,2,2,0
297,5,2,0,0
156,4,4,0,1
279,5,2,2,0
225,4,10,2,0
165,4,3,1,0
213,2,9,1,0
158,0,0,5,0
73,3,1,0,0
150,2,3,1,0
822,2,10,8,1
497,6,2,4,1
567,3,1,9,1
195,1,2,2,0
838,2,2,3,1
276,5,27,2,1
935,8,12,5,1
397,2,11,1,1
333,10,13,6,1
239,2,26,10,1
151,2,1,0,0
121,0,9,6,0
214,1,2,3,0
178,1,2,2,0
716,3,28,1,1
73,2,4,1,0
102,2,0,2,0
714,3,5,4,1
125,2,6,0,0
133,3,20,1,1
209,0,2,2,0
799,7,28,5,1
405,9,1,4,1
138,7,28,4,1
134,0,2,5,0
66,3,26,9,1
636,9,9,6,1
249,0,3,2,0
832,6,25,1,1
869,2,18,1,1
171,6,14,10,1
638,10,20,2,1
565,6,7,7,1
242,0,5,1,0
871,3,10,8,1
620,6,8,0,1
138,7,30,3,1
107,1,0,2,0
156,8,24,2,1
785,5,17,4,1
745,2,5,7,1
699,7,7,6,1
59,5,3,1,0
119,8,24,8,1
156,1,9,1,0
113,4,0,0,0
176,1,6,2,0
962,2,19,8,1
338,6,25,4,1
657,9,29,3,1
258,2,2,4,0
35,2,6,4,0
429,4,21,9,1
227,2,0,2,0
529,3,0,8,1
23,0,1,5,0
56,10,7,4,1
830,5,29,5,1
294,2,3,0,0
253,0,0,2,0
180,0,25,10,1
867,2,1,8,1
157,1,2,1,0
71,0,0,2,0
134,8,21,1,1
193,2,0,8,1
525,3,20,1,1
124,2,29,5,1
56,0,3,2,0
267,1,4,1,0
69,7,27,6,1
363,1,2,0,0
649,7,11,0,1
277,2,0,5,0
874,1,1,5,1
72,2,3,2,0
425,1,0,0,0
254,0,3,1,0
890,10,28,8,1
750,10,9,3,1
291,1,2,4,0
157,2,24,6,1
314,2,8,0,0
242,2,3,0,0
295,0,1,0,0
946,7,16,10,1
197,2,3,1,0
285,2,3,1,0
409,5,16,2,1
265,2,6,6,0
188,1,3,0,0
146,0,2,0,0
882,1,18,9,1
114,0,2,0,0
160,1,2,2,0
384,1,12,6,1
80,3,1,6,0
143,10,28,8,1
179,0,2,0,0
69,0,2,2,0
20,1,3,0,0
205,0,1,2,0
429,2,2,1,0
235,0,0,1,0
242,0,3,0,0
147,1,3,0,0
171,1,7,0,0
43,0,5,1,0
168,4,2,1,0
483,6,21,10,1
266,1,1,0,0
56,3,1,2,0
170,2,2,2,0
308,4,1,1,1
78,6,5,10,1
779,3,23,8,1
873,2,16,7,1
819,3,28,0,1
338,0,0,0,0
149,2,8,0,0
95,6,8,7,1
141,1,0,3,1
451,2,5,3,1
487,5,3,2,0
122,0,8,1,1
103,8,6,10,1
117,1,3,2,0
209,3,0,0,0
601,2,25,5,1
152,0,10,2,0
689,10,27,9,1
185,2,1,1,0
158,2,4,1,0
127,2,30,4,1
28,1,2,2,0
254,0,0,1,0
240,0,2,1,0
212,3,7,0,0
173,2,1,1,0
161,4,4,1,1
394,8,27,9,1
774,2,14,7,1
275,1,0,0,0
488,8,20,1,1
198,5,27,0,1
217,0,9,2,0
916,6,22,7,1
619,2,29,8,1
33,1,2,1,0
296,2,8,1,0
400,0,10,0,0
304,1,7,0,0
32,1,2,0,0
41,0,1,2,0
294,0,2,5,0
107,0,1,2,0
625,3,2,10,1
869,7,12,0,1
594,6,19,3,1
158,6,19,1,1
159,1,1,1,0
175,1,3,1,0
171,3,15,6,1
243,1,1,5,0
60,1,3,0,0
239,1,3,6,0
475,1,7,7,1
688,9,28,9,1
287,5,14,10,1
933,8,0,3,1
426,0,2,1,0
255,2,0,0,0
290,1,7,1,0
147,0,3,2,0
370,1,1,0,0
603,10,11,3,1
164,2,4,2,0
84,0,0,0,0
240,1,1,1,0
761,2,2,6,1
83,0,3,2,0
380,2,5,2,0
347,0,3,1,0
51,2,1,0,0
275,0,9,1,0
275,1,2,2,0
262,1,2,0,0
876,7,0,8,1
139,3,21,4,1
376,2,26,7,1
212,2,0,6,0
220,2,2,1,0
395,5,3,10,1
189,2,3,1,0
233,5,0,0,0
706,1,6,4,1
273,2,10,2,0
109,1,3,0,0
372,8,6,9,1
283,8,30,1,1
91,1,9,5,0
291,3,0,6,0
417,5,13,8,1
908,3,10,5,1
118,9,10,5,1
